,precision,recall,f1-score,support
CLAIM,0.7169811320754716,0.8172043010752689,0.7638190954773869,93.0
NEUTRAL,0.6261682242990654,0.6442307692307693,0.6350710900473934,104.0
OUTCOME,0.7904761904761904,0.7033898305084746,0.7443946188340808,118.0
TARGET,0.8285714285714286,0.7631578947368421,0.7945205479452054,114.0
TRANSPARENCY,0.7652173913043478,0.8073394495412844,0.7857142857142857,109.0
accuracy,0.7453531598513011,0.7453531598513011,0.7453531598513011,0.7453531598513011
macro avg,0.7454828733453007,0.7470644490185279,0.7447039276036704,538.0
weighted avg,0.748964255753957,0.7453531598513011,0.7456121447497361,538.0
